COD_PROVINCIA,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,TOTAL_VEHICULOS,NUM_ACCIDENTES,TOPSIS_SCORE,MULTIPLICADOR_RIESGO
1,0.012463146609488072,0.11431251675154114,1.1758241758241759,1.6148485660680783,7462,0.21346140799541644,0.8903937229574995
2,0.025185722051096215,0.12683457148034064,1.1804674759920275,1.642870085160355,5519,0.27671492897226474,0.946807854728831
3,0.022463240022291765,0.11025849873537102,1.2293050970977837,1.7637930295365885,23327,0.2888350573729432,0.9576174746538877
4,0.031985940246045695,0.1060339777387229,1.3735207967193908,1.7670767428236673,8535,0.365105065811979,1.0256406651392866
5,0.0387218045112782,0.13157894736842105,1.2075187969924812,1.412781954887218,2660,0.326757406488569,0.9914394084695624
6,0.036240870883285106,0.12250241146479261,1.2586468237563733,1.6300124018189335,7257,0.3411193081953232,1.0042484063381283
7,0.016531553012239707,0.09728183118741059,1.2223811794627246,1.8166030837704656,25164,0.266738665414304,0.937910290794796
8,0.007938903434575996,0.054105276457746924,1.248506629791595,1.823968328618659,142463,0.3207387119676712,0.9860714950230114
9,0.03955453149001536,0.15149769585253456,1.1833717357910907,1.5827572964669738,5208,0.3624193473643653,1.0232453443403098
10,0.04102976669348351,0.1378385626173237,1.237060874229016,1.5140788415124697,3729,0.36082311261420597,1.0218217050528395
11,0.013891531874405328,0.08235014272121789,1.3392483349191246,1.7751189343482399,21020,0.283708693717717,0.9530454073556966
12,0.03443307880708832,0.16452960668491573,1.1551649618210633,1.6087019161504106,6941,0.3529991377272102,1.014843710098027
13,0.05707584050039093,0.10711493354182955,1.287203544435757,1.5475632004169924,3837,0.4231628870402461,1.0774208905962486
14,0.027999523412367448,0.128916954605028,1.2510425354462051,1.6630525437864887,8393,0.31562432609932245,0.9815101103941294
15,0.02938374734373855,0.1538066974426614,1.2196087052099363,1.6777313695317653,13647,0.34506538737463643,1.0077678093273053
16,0.07139457401237506,0.2298905283198477,1.2284626368396,1.541646834840552,2101,0.5870363951528215,1.2235753107411274
17,0.020260103181427343,0.09399183147033534,1.2305460017196905,1.6799226139294927,18608,0.24797637768878322,0.9211767057590069
18,0.0205425748784695,0.08726673984632272,1.30100360671162,1.7536459150070567,12754,0.28253137147261426,0.9519953849814978
19,0.029048945483485872,0.11062475129327497,1.294866693195384,1.580183048149622,2513,0.3041969299784228,0.9713183199512924
20,0.012899485469961591,0.1034857598376694,1.1443582868323792,1.6651206609174578,13799,0.20302369056505376,0.8810846005969605
21,0.03297101449275362,0.12789855072463768,1.3855072463768117,1.6777173913043477,5520,0.3815556287391778,1.040312484357497
22,0.05533834586466165,0.1882706766917293,1.1609022556390978,1.5196992481203007,3325,0.4643811158509072,1.1141823317871131
23,0.031746031746031744,0.09477577438742488,1.3324086916319926,1.6321467098166127,6489,0.3223307182894219,0.98749136308773
24,0.04466641537881644,0.19317753486618922,1.1988315114964192,1.4417640407086318,5306,0.4268500000092133,1.0807093285151943
25,0.026828797529434473,0.13173132599884194,1.2562246670526924,1.5704497201312488,10362,0.3057827922410722,0.9727327082932319
26,0.02627356598475732,0.11171279582831929,1.178098676293622,1.592057761732852,4986,0.25399011609897937,0.9265401989823374
27,0.0451767207015679,0.17353175657719905,1.2184427318628754,1.5490300292319958,3763,0.41882242251064467,1.073549745810311
28,0.008685363490607289,0.06583899925407045,1.210575051657764,1.8001509006884844,116633,0.29109804150613716,0.9596357699695456
29,0.014564650511988806,0.06445970870698976,1.2899891878140304,1.8091649176365834,31446,0.2639887718557942,0.9354577339225283
30,0.022337908187411264,0.09479413156649313,1.2840037860861335,1.7845716990061524,21130,0.2959468731401417,0.9639603138449426
31,0.03623659408514787,0.16217094572635685,1.0953851153721157,1.6358466038349042,6154,0.3493308874451224,1.01157209530745
32,0.04076590487955528,0.19827053736874614,1.1108709079678813,1.544780728844966,3238,0.40487855368603826,1.0611135803427565
33,0.01805564479856069,0.09753903489044528,1.2584977189487887,1.662789950523678,15563,0.25157687564146886,0.9243878940503205
34,0.05669083717864205,0.22874093605800924,1.127224785761371,1.4752801582069874,1517,0.4979935036864149,1.1441603258531743
35,0.018145591688607413,0.06482601579733864,1.338860029886857,1.8026044261011884,14053,0.28558940294979035,0.9547227618618683
36,0.02015900056785917,0.10398921067575241,1.3539182282793867,1.7431856899488927,14088,0.315653440313622,0.9815360765869444
37,0.02847782258064516,0.11668346774193548,1.204133064516129,1.5758568548387097,3968,0.27510777442349654,0.9453744763636285
38,0.016248506571087215,0.1342293906810036,1.2497013142174433,1.7986857825567504,16740,0.30564649826363155,0.9726111513224225
39,0.02297200287150036,0.10193826274228285,1.2809763101220388,1.7757358219669777,6965,0.2968095073469388,0.9647296743336737
40,0.040339702760084924,0.1197452229299363,1.2764331210191082,1.4874734607218683,2355,0.34758029135821034,1.01001078525229
41,0.014258327342439491,0.0688653247064462,1.3720045530793195,1.8141924275101846,33384,0.30106685792869964,0.9685266920017356
42,0.10721649484536082,0.24020618556701032,1.1082474226804124,1.443298969072165,970,0.6507217470034686,1.2803745809749698
43,0.025010754009709334,0.10729429115713145,1.201806673631168,1.6768266453634855,16273,0.26790739156833443,0.9389526465441654
44,0.051559516231699555,0.27180140038192235,1.0732017823042648,1.3704646721833227,1571,0.4974791814984181,1.1437016155831612
45,0.043709854300485664,0.12705624314585617,1.3459188469371768,1.6399812000626666,6383,0.4078137700933237,1.0637314217312002
46,0.015907384952941857,0.09397193833362204,1.2014839193948843,1.7526704775102488,34638,0.24633554585071823,0.9197132915158523
47,0.025096525096525095,0.11300861300861301,1.2053757053757055,1.6882981882981882,6734,0.2745051741052223,0.9448370331788765
48,0.010723860589812333,0.07888739946380698,1.2578418230563002,1.6922922252010724,14920,0.22086770716995438,0.8969992040614402
49,0.08475648323845668,0.2333965844402277,1.1669829222011385,1.4845034788108793,1581,0.6150272087456519,1.2485395723668269
50,0.025227864583333332,0.13330078125,1.1925455729166667,1.6984049479166667,12288,0.29876798673069577,0.9664763899681622
51,0.00538971807628524,0.0472636815920398,1.4179104477611941,1.8030679933665008,2412,0.28483233594887847,0.9540475539542358
52,0.0039100684261974585,0.04007820136852395,1.2730531117627892,1.722059302704464,3069,0.20222759143805474,0.8803745809749697
